id,nombre,apellido,año de nacimiento,planeta natal,fecha de registro,puntos de lealtad,ultima ubicación conocida
IMP-0067,Juno,Organa,10063,Hoth,10068-05-15,81,Coruscant
IMP-0068,Mira,Kyne,10048,Sullust,10087-07-27,23,Cato Neimoidia
IMP-0069,Zane,Rook,10056,Bespin,10087-04-01,50,Naboo
IMP-0070,Sana,Grell,10054,Scarif,10055-07-27,89,Nevarro
IMP-0071,Mira,Omiir,10042,Cato Neimoidia,10046-01-21,91,Ryloth
IMP-0072,Tycho,Adana,10041,Coruscant,10045-11-11,18,Cato Neimoidia
IMP-0073,Ria,Vor,10056,Geonosis,10057-07-07,54,Felucia
IMP-0074,Nero,Terik,10053,Chandrila,10079-09-08,74,Ryloth
IMP-0075,Tycho,Vale,10062,Kuat,10065-12-18,57,Tatooine
IMP-0076,Aila,Shard,10047,Mustafar,10081-12-01,67,Jedha
IMP-0077,Kira,Walker,10060,Geonosis,10086-07-26,49,Felucia
IMP-0078,Nyra,Tyne,10053,Cato Neimoidia,10056-07-22,61,Kessel
IMP-0079,Korin,Skara,10054,Mandalore,10083-12-22,46,Scarif
IMP-0080,Nix,Bane,10062,Naboo,10064-07-28,67,Malastare
IMP-0081,Tali,Ordo,10052,Florrum,10052-10-20,97,Chandrila
IMP-0082,Vex,Ardan,10052,Kashyyyk,10084-11-26,53,Geonosis
IMP-0083,Teya,Vor,10039,Jedha,10042-06-21,97,Atollon
IMP-0084,Kade,Quell,10035,Felucia,10037-04-06,6,Lothal
IMP-0085,Aren,Syndulla,10054,Naboo,10056-07-22,84,Raxus Secundus
IMP-0086,Nira,Organa,10046,Cato Neimoidia,10083-03-17,97,Mon Cala
IMP-0087,Lumi,Wex,10050,Kuat,10055-09-16,77,Florrum
IMP-0088,Leto,Vext,10048,Coruscant,10051-03-08,88,Coruscant
IMP-0089,Sora,Terik,10055,Cato Neimoidia,10055-03-05,87,Sullust
IMP-0090,Ryn,Solo,10043,Naboo,10044-09-21,64,Corellia
IMP-0091,Jax,Zar,10051,Cato Neimoidia,10087-11-17,58,Geonosis
IMP-0092,Nero,Morne,10048,Malastare,10051-07-11,54,Kessel
IMP-0093,Leto,Ordo,10042,Nevarro,10045-08-01,91,Atollon
IMP-0094,Daro,Salomon,10049,Cato Neimoidia,10050-12-18,60,Kashyyyk
IMP-0095,Aren,Kerr,10053,Alderaan,10053-03-05,55,Malastare
IMP-0096,Rook,Morne,10062,Naboo,10062-06-21,45,Ryloth
IMP-0097,Beck,Kenobi,10047,Yavin 4,10049-04-26,71,Tatooine
IMP-0098,Zane,Wex,10051,Bespin,10091-09-14,8,Alderaan
IMP-0099,Tycho,Tyne,10061,Yavin 4,10063-12-14,50,Iego
IMP-0100,Nero,Dray,10047,Scarif,10050-02-07,88,Nevarro
